case_id,url
217067,https://www.law.go.kr/LSW/precInfoP.do?precSeq=217067&mode=0
217107,https://www.law.go.kr/LSW/precInfoP.do?precSeq=217107&mode=0
217138,https://www.law.go.kr/LSW/precInfoP.do?precSeq=217138&mode=0
217170,https://www.law.go.kr/LSW/precInfoP.do?precSeq=217170&mode=0
220157,https://www.law.go.kr/LSW/precInfoP.do?precSeq=220157&mode=0
224131,https://www.law.go.kr/LSW/precInfoP.do?precSeq=224131&mode=0
224713,https://www.law.go.kr/LSW/precInfoP.do?precSeq=224713&mode=0
224841,https://www.law.go.kr/LSW/precInfoP.do?precSeq=224841&mode=0
225599,https://www.law.go.kr/LSW/precInfoP.do?precSeq=225599&mode=0
225786,https://www.law.go.kr/LSW/precInfoP.do?precSeq=225786&mode=0
226034,https://www.law.go.kr/LSW/precInfoP.do?precSeq=226034&mode=0
226185,https://www.law.go.kr/LSW/precInfoP.do?precSeq=226185&mode=0
227242,https://www.law.go.kr/LSW/precInfoP.do?precSeq=227242&mode=0
227620,https://www.law.go.kr/LSW/precInfoP.do?precSeq=227620&mode=0
230020,https://www.law.go.kr/LSW/precInfoP.do?precSeq=230020&mode=0
230255,https://www.law.go.kr/LSW/precInfoP.do?precSeq=230255&mode=0
230405,https://www.law.go.kr/LSW/precInfoP.do?precSeq=230405&mode=0
232488,https://www.law.go.kr/LSW/precInfoP.do?precSeq=232488&mode=0
233002,https://www.law.go.kr/LSW/precInfoP.do?precSeq=233002&mode=0
233128,https://www.law.go.kr/LSW/precInfoP.do?precSeq=233128&mode=0
234019,https://www.law.go.kr/LSW/precInfoP.do?precSeq=234019&mode=0
234275,https://www.law.go.kr/LSW/precInfoP.do?precSeq=234275&mode=0
235856,https://www.law.go.kr/LSW/precInfoP.do?precSeq=235856&mode=0
236783,https://www.law.go.kr/LSW/precInfoP.do?precSeq=236783&mode=0
236988,https://www.law.go.kr/LSW/precInfoP.do?precSeq=236988&mode=0
237064,https://www.law.go.kr/LSW/precInfoP.do?precSeq=237064&mode=0
237251,https://www.law.go.kr/LSW/precInfoP.do?precSeq=237251&mode=0
237299,https://www.law.go.kr/LSW/precInfoP.do?precSeq=237299&mode=0
237790,https://www.law.go.kr/LSW/precInfoP.do?precSeq=237790&mode=0
237932,https://www.law.go.kr/LSW/precInfoP.do?precSeq=237932&mode=0
238135,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238135&mode=0
238397,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238397&mode=0
238410,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238410&mode=0
238489,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238489&mode=0
238498,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238498&mode=0
238550,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238550&mode=0
238649,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238649&mode=0
238679,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238679&mode=0
238701,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238701&mode=0
238789,https://www.law.go.kr/LSW/precInfoP.do?precSeq=238789&mode=0
239905,https://www.law.go.kr/LSW/precInfoP.do?precSeq=239905&mode=0
239975,https://www.law.go.kr/LSW/precInfoP.do?precSeq=239975&mode=0
240038,https://www.law.go.kr/LSW/precInfoP.do?precSeq=240038&mode=0
240099,https://www.law.go.kr/LSW/precInfoP.do?precSeq=240099&mode=0
240110,https://www.law.go.kr/LSW/precInfoP.do?precSeq=240110&mode=0
240136,https://www.law.go.kr/LSW/precInfoP.do?precSeq=240136&mode=0
240139,https://www.law.go.kr/LSW/precInfoP.do?precSeq=240139&mode=0
240648,https://www.law.go.kr/LSW/precInfoP.do?precSeq=240648&mode=0
240944,https://www.law.go.kr/LSW/precInfoP.do?precSeq=240944&mode=0
241290,https://www.law.go.kr/LSW/precInfoP.do?precSeq=241290&mode=0
241679,https://www.law.go.kr/LSW/precInfoP.do?precSeq=241679&mode=0
242289,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242289&mode=0
242301,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242301&mode=0
242303,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242303&mode=0
242463,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242463&mode=0
242497,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242497&mode=0
242529,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242529&mode=0
242533,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242533&mode=0
242535,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242535&mode=0
242537,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242537&mode=0
242549,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242549&mode=0
242561,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242561&mode=0
242597,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242597&mode=0
242775,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242775&mode=0
242801,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242801&mode=0
242807,https://www.law.go.kr/LSW/precInfoP.do?precSeq=242807&mode=0
243193,https://www.law.go.kr/LSW/precInfoP.do?precSeq=243193&mode=0
243199,https://www.law.go.kr/LSW/precInfoP.do?precSeq=243199&mode=0
243569,https://www.law.go.kr/LSW/precInfoP.do?precSeq=243569&mode=0
244066,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244066&mode=0
244180,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244180&mode=0
244251,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244251&mode=0
244290,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244290&mode=0
244292,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244292&mode=0
244608,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244608&mode=0
244677,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244677&mode=0
244794,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244794&mode=0
244968,https://www.law.go.kr/LSW/precInfoP.do?precSeq=244968&mode=0
245086,https://www.law.go.kr/LSW/precInfoP.do?precSeq=245086&mode=0
245120,https://www.law.go.kr/LSW/precInfoP.do?precSeq=245120&mode=0
245416,https://www.law.go.kr/LSW/precInfoP.do?precSeq=245416&mode=0
245540,https://www.law.go.kr/LSW/precInfoP.do?precSeq=245540&mode=0
245616,https://www.law.go.kr/LSW/precInfoP.do?precSeq=245616&mode=0
246399,https://www.law.go.kr/LSW/precInfoP.do?precSeq=246399&mode=0
248272,https://www.law.go.kr/LSW/precInfoP.do?precSeq=248272&mode=0
248472,https://www.law.go.kr/LSW/precInfoP.do?precSeq=248472&mode=0
248632,https://www.law.go.kr/LSW/precInfoP.do?precSeq=248632&mode=0
248746,https://www.law.go.kr/LSW/precInfoP.do?precSeq=248746&mode=0
248856,https://www.law.go.kr/LSW/precInfoP.do?precSeq=248856&mode=0
248926,https://www.law.go.kr/LSW/precInfoP.do?precSeq=248926&mode=0
248994,https://www.law.go.kr/LSW/precInfoP.do?precSeq=248994&mode=0
249094,https://www.law.go.kr/LSW/precInfoP.do?precSeq=249094&mode=0
249576,https://www.law.go.kr/LSW/precInfoP.do?precSeq=249576&mode=0
250094,https://www.law.go.kr/LSW/precInfoP.do?precSeq=250094&mode=0
251630,https://www.law.go.kr/LSW/precInfoP.do?precSeq=251630&mode=0
252228,https://www.law.go.kr/LSW/precInfoP.do?precSeq=252228&mode=0
257862,https://www.law.go.kr/LSW/precInfoP.do?precSeq=257862&mode=0
258392,https://www.law.go.kr/LSW/precInfoP.do?precSeq=258392&mode=0
258398,https://www.law.go.kr/LSW/precInfoP.do?precSeq=258398&mode=0
258566,https://www.law.go.kr/LSW/precInfoP.do?precSeq=258566&mode=0
